,workclass,education
0, State-gov, Bachelors
1, Self-emp-not-inc, Bachelors
2, Private, HS-grad
3, Private, 11th
4, Private, Bachelors
5, Private, Masters
6, Private, 9th
7, Self-emp-not-inc, HS-grad
8, Private, Masters
9, Private, Bachelors
10, Private, Some-college
11, State-gov, Bachelors
12, Private, Bachelors
13, Private, Assoc-acdm
14, Private, Assoc-voc
15, Private, 7th-8th
16, Self-emp-not-inc, HS-grad
17, Private, HS-grad
18, Private, 11th
19, Self-emp-not-inc, Masters
20, Private, Doctorate
21, Private, HS-grad
22, Federal-gov, 9th
23, Private, 11th
24, Private, HS-grad
25, Local-gov, Bachelors
26, Private, HS-grad
27, ?, Some-college
28, Private, HS-grad
29, Private, HS-grad
30, Local-gov, Assoc-acdm
31, Private, Some-college
32, Private, Bachelors
33, Federal-gov, Some-college
34, State-gov, Some-college
35, Private, 11th
36, Private, Some-college
37, Private, HS-grad
38, Private, Some-college
39, Self-emp-not-inc, Assoc-acdm
40, Private, 9th
41, Self-emp-not-inc, Bachelors
42, Private, Bachelors
43, Private, HS-grad
44, Private, HS-grad
45, Federal-gov, Bachelors
46, Private, HS-grad
47, Private, Masters
48, State-gov, Assoc-voc
49, Private, Assoc-voc
50, Private, Some-college
51, Private, HS-grad
52, Private, Prof-school
53, Federal-gov, Bachelors
54, Self-emp-inc, HS-grad
55, Private, Some-college
56, Private, 5th-6th
57, Private, Assoc-voc
58, Private, HS-grad
59, Private, HS-grad
60, Private, Bachelors
61, ?, 7th-8th
62, Private, HS-grad
63, Private, Doctorate
64, Private, Some-college
65, Private, HS-grad
66, Private, Some-college
67, Private, HS-grad
68, Self-emp-inc, Some-college
69, ?, Some-college
70, Private, Some-college
71, Private, Bachelors
72, Self-emp-not-inc, Bachelors
73, Private, Some-college
74, Private, Some-college
75, Private, HS-grad
76, Private, Assoc-acdm
77, ?, 10th
78, Private, 11th
79, Local-gov, 7th-8th
80, Private, HS-grad
81, Private, Bachelors
82, Private, HS-grad
83, Private, HS-grad
84, Private, HS-grad
85, Private, HS-grad
86, Local-gov, HS-grad
87, Private, Masters
88, Private, 9th
89, Federal-gov, Doctorate
90, Private, Assoc-voc
91, Private, Some-college
92, Private, Some-college
93, Private, HS-grad
94, Local-gov, Bachelors
95, Local-gov, Some-college
96, Self-emp-not-inc, Doctorate
97, Private, Some-college
98, Private, Assoc-acdm
99, Federal-gov, HS-grad
100, Private, Masters
101, Private, Bachelors
102, Self-emp-not-inc, Masters
103, Private, Some-college
104, Private, HS-grad
105, Self-emp-inc, HS-grad
106, ?, 10th
107, Private, 11th
108, Local-gov, HS-grad
109, Private, HS-grad
110, Private, Bachelors
111, Private, Prof-school
112, Self-emp-not-inc, HS-grad
113, Private, Some-college
114, Private, HS-grad
115, Private, 9th
116, Self-emp-inc, Some-college
117, Local-gov, Assoc-voc
118, Private, Some-college
119, Private, HS-grad
120, Private, Some-college
121, Private, Bachelors
122, Private, Bachelors
123, State-gov, Bachelors
124, Private, Some-college
125, Private, Bachelors
126, Private, Some-college
127, Private, Assoc-acdm
128, ?, HS-grad
129, Private, Some-college
130, Private, Assoc-acdm
131, Private, HS-grad
132, Self-emp-not-inc, HS-grad
133, Private, Bachelors
134, Private, Assoc-acdm
135, Federal-gov, Masters
136, Self-emp-not-inc, HS-grad
137, Private, Assoc-voc
138, Private, Some-college
139, Private, Some-college
140, Self-emp-inc, HS-grad
141, Private, Some-college
142, Private, Some-college
143, Private, Assoc-voc
144, Private, Some-college
145, Private, HS-grad
146, Private, Some-college
147, Private, HS-grad
148, Private, 11th
149, ?, Some-college
150, Local-gov, Some-college
151, Private, HS-grad
152, Private, Bachelors
153, Private, HS-grad
154, ?, HS-grad
155, Private, HS-grad
156, Private, Bachelors
157, Self-emp-not-inc, Some-college
158, Private, HS-grad
159, Private, Bachelors
160, ?, 1st-4th
161, Private, HS-grad
162, Self-emp-inc, Masters
163, Private, HS-grad
164, Self-emp-not-inc, Masters
165, Private, Some-college
166, Federal-gov, Assoc-acdm
167, State-gov, Masters
168, Private, 11th
169, Local-gov, Assoc-voc
170, Private, HS-grad
171, State-gov, HS-grad
172, Private, Some-college
173, Private, Bachelors
174, State-gov, Bachelors
175, Private, HS-grad
176, Private, HS-grad
177, Private, HS-grad
178, Private, HS-grad
179, Private, Bachelors
180, Local-gov, Some-college
181, Private, Some-college
182, Private, Some-college
183, Private, 7th-8th
184, Federal-gov, Some-college
185, Private, HS-grad
186, Self-emp-not-inc, Bachelors
187, ?, Bachelors
188, Private, Masters
189, State-gov, Doctorate
190, Private, Some-college
191, Private, Some-college
192, Local-gov, Bachelors
193, Private, Some-college
194, Federal-gov, Bachelors
195, Private, 5th-6th
196, Private, Some-college
197, Federal-gov, Masters
198, Private, Masters
199, Self-emp-not-inc, HS-grad
200, Private, Masters
201, ?, HS-grad
202, Private, Bachelors
203, Local-gov, Some-college
204, State-gov, HS-grad
205, Private, 11th
206, Private, Bachelors
207, Private, HS-grad
208, Self-emp-inc, HS-grad
209, Private, 11th
210, Local-gov, HS-grad
211, Private, HS-grad
212, Private, Some-college
213, Private, HS-grad
